id_client,age,anciennete_mois,nb_seances_moy_mois,abonnement_premium,coaching,satisfaction,revenu_mensuel,churn
41,45.0,50,2.1,0,0,3.4,44.17,0
42,39.0,3,6.1,0,0,5.0,57.52,0
43,36.0,59,2.0,0,0,5.6,32.88,0
44,34.0,28,5.0,1,0,4.7,83.03,0
45,23.0,46,4.2,0,0,4.8,44.82,0
46,30.0,64,5.4,0,0,5.6,55.28,0
47,33.0,70,7.3,0,1,9.3,81.34,0
48,48.0,47,7.7,1,1,8.5,129.14,0
49,41.0,14,6.4,1,1,7.9,108.08,0
50,20.0,7,3.5,0,0,2.4,31.51,0
51,41.0,31,5.0,0,0,5.5,67.24,0
52,34.0,51,3.3,0,0,3.3,28.13,0
53,31.0,29,3.7,0,0,5.3,69.85,0
54,44.0,15,6.0,1,0,5.2,85.22,0
55,48.0,25,3.1,0,0,2.0,39.02,1
56,47.0,61,4.1,0,0,5.4,46.82,0
57,29.0,41,2.9,0,0,3.3,28.38,0
58,34.0,69,6.3,1,0,8.1,85.55,0
59,41.0,4,4.3,0,0,2.8,46.94,0
60,47.0,57,0.6,1,1,4.4,77.21,0
61,33.0,31,8.3,0,0,6.5,80.33,0
62,36.0,3,7.0,1,1,5.3,113.17,0
63,26.0,67,1.0,0,0,4.8,23.29,0
64,26.0,50,6.5,0,1,9.5,72.45,0
65,46.0,17,8.0,1,0,5.8,97.74,0
66,51.0,60,4.6,1,0,6.7,83.04,0
67,37.0,66,5.3,0,0,6.1,55.77,0
68,48.0,24,4.4,1,1,6.5,102.37,0
69,41.0,32,6.0,1,0,5.7,86.63,0
70,31.0,19,7.1,0,0,5.2,67.04,0
71,41.0,66,2.6,1,0,4.1,76.49,0
72,53.0,60,3.6,0,0,6.6,67.16,0
73,37.0,66,5.2,1,0,5.6,84.01,0
74,53.0,15,5.6,0,1,6.1,108.93,0
75,18.0,35,5.8,0,0,3.9,60.52,0
76,46.0,69,4.6,1,0,5.7,79.36,0
77,38.0,27,3.2,0,0,2.3,65.71,0
78,35.0,7,7.0,0,0,2.8,63.2,0
79,38.0,6,2.6,1,0,1.6,49.67,1
80,18.0,33,4.0,1,0,4.1,64.13,0
81,35.0,58,5.0,0,0,5.3,64.23,0
82,41.0,49,6.0,0,0,6.0,64.73,0
83,52.0,17,4.4,1,0,3.7,67.79,0
84,32.0,42,6.5,0,0,4.8,42.95,0
85,29.0,72,7.5,0,1,10.0,83.7,0
86,32.0,40,3.8,0,0,5.2,60.75,0
87,47.0,46,5.8,0,0,6.6,57.78,0
88,41.0,71,5.5,0,0,7.7,53.9,0
89,32.0,70,4.3,1,0,6.4,65.6,0
90,43.0,68,1.2,1,0,4.6,57.7,0
91,38.0,1,5.7,0,0,5.1,63.87,0
92,47.0,52,5.9,0,0,9.3,57.73,0
93,30.0,35,7.2,0,1,7.2,84.18,0
94,34.0,69,4.3,0,0,5.7,62.86,0
95,34.0,5,3.7,0,1,3.3,60.54,0
96,23.0,17,3.2,1,1,5.8,95.55,0
97,40.0,53,0.5,0,0,4.6,30.93,0
98,40.0,52,4.2,1,0,6.3,92.35,0
99,38.0,14,10.5,1,0,6.7,116.32,0
100,35.0,29,7.5,0,0,6.4,81.08,0
101,23.0,8,3.0,0,1,4.4,71.23,0
102,33.0,1,4.0,1,0,3.2,69.94,1
103,34.0,29,4.0,1,0,6.2,88.95,0
104,29.0,36,7.8,1,0,8.3,97.58,0
105,36.0,51,9.4,0,0,10.0,79.5,0
106,42.0,37,5.2,1,0,5.1,72.98,0
107,56.0,69,5.5,0,0,7.7,65.04,0
108,39.0,53,6.0,0,0,5.2,55.94,0
109,40.0,52,5.0,0,0,6.2,49.56,0
110,37.0,12,5.6,0,1,6.2,80.81,0
111,18.0,52,5.1,1,0,4.9,74.3,0
112,37.0,1,6.0,0,0,3.9,52.18,0
113,38.0,7,1.0,1,0,2.5,50.61,0
114,62.0,17,4.0,0,1,5.1,80.49,0
115,36.0,43,2.6,1,1,6.1,102.48,0
116,41.0,71,6.4,0,0,10.0,81.02,0
117,37.0,17,3.4,1,0,2.8,81.49,1
118,26.0,59,1.9,0,1,6.6,36.21,0
119,49.0,3,1.4,0,0,1.0,40.32,0
120,45.0,29,5.9,1,0,6.7,82.03,0
121,45.0,22,3.1,0,0,3.3,69.6,0
122,28.0,38,4.7,0,1,7.8,77.55,0
123,52.0,54,8.2,1,0,9.8,87.52,0
124,23.0,50,5.8,0,0,6.3,51.49,0
125,43.0,69,4.0,0,0,7.3,32.43,0
126,59.0,30,2.6,0,0,1.6,42.55,0
127,28.0,23,5.9,0,0,5.4,43.64,0
128,32.0,47,4.7,1,1,8.5,78.52,0
129,38.0,21,6.2,0,1,9.2,71.47,0
130,32.0,20,0.5,0,0,0.1,22.25,0
131,22.0,23,7.3,1,0,5.1,92.09,0
132,38.0,68,1.6,1,1,5.5,86.75,0
133,27.0,21,4.0,1,0,4.0,75.2,0
134,42.0,21,7.8,0,0,5.8,67.78,0
135,28.0,1,0.5,0,1,2.8,56.58,0
136,53.0,15,4.8,0,1,5.3,85.66,1
137,30.0,17,4.5,0,0,3.3,42.29,1
138,34.0,51,4.9,0,0,5.0,58.0,0
139,46.0,63,5.7,1,0,7.2,83.82,0
140,25.0,14,5.0,1,1,6.2,104.24,0
141,40.0,59,2.3,0,1,7.0,59.68,0
142,51.0,50,5.2,0,0,5.8,47.08,0
143,21.0,34,5.0,0,1,7.1,73.42,0
144,39.0,6,4.9,1,1,6.8,92.11,0
145,40.0,49,9.2,1,0,10.0,90.97,0
146,45.0,6,7.7,0,0,5.3,80.23,0
147,25.0,69,8.7,1,0,10.0,99.79,0
148,24.0,7,5.7,0,1,5.6,58.69,0
149,43.0,51,8.6,0,0,8.1,39.9,0
150,40.0,1,3.3,0,0,1.4,44.92,1
151,40.0,13,4.3,0,0,5.4,45.08,0
152,41.0,43,3.8,0,0,4.1,49.43,0
153,31.0,27,4.0,0,0,4.0,52.47,0
154,40.0,71,5.1,0,0,5.2,55.29,0
155,40.0,3,5.4,0,0,5.0,49.23,0
156,30.0,58,5.9,1,0,7.0,94.02,0
157,56.0,17,8.5,0,0,8.0,60.8,0
158,42.0,45,2.0,1,0,4.0,76.92,1
159,26.0,58,2.6,0,0,4.8,48.77,0
160,44.0,56,0.5,0,0,4.0,25.93,0
161,28.0,54,3.3,0,0,5.0,50.98,0
162,45.0,29,4.1,0,0,2.5,46.99,0
163,49.0,54,3.6,0,0,5.5,61.68,0
164,29.0,27,2.7,0,0,4.4,37.25,0
165,47.0,45,5.2,1,0,5.0,88.94,0
166,42.0,31,4.2,1,0,2.4,63.47,0
167,46.0,36,3.2,1,0,3.3,74.53,0
168,56.0,61,5.3,0,0,7.1,59.5,0
169,35.0,37,3.9,0,0,3.4,55.62,1
170,30.0,67,7.3,0,0,8.4,71.5,0
171,29.0,36,4.7,1,0,5.5,75.32,0
172,29.0,5,4.3,1,1,3.9,77.1,0
173,37.0,46,5.5,1,0,7.5,69.19,0
174,41.0,52,1.0,0,0,4.0,20.0,0
175,40.0,49,7.4,0,1,8.1,84.45,0
176,46.0,6,6.6,0,0,5.6,74.18,0
177,38.0,10,3.4,0,0,2.1,39.66,0
178,52.0,23,2.7,0,0,2.6,39.73,0
179,35.0,17,3.0,0,0,3.0,38.98,0
180,65.0,44,2.2,0,0,4.6,43.39,0
181,44.0,41,1.6,0,0,3.1,39.77,1
182,29.0,15,2.1,0,0,2.6,36.38,0
183,27.0,44,0.5,1,0,4.0,47.8,0
184,42.0,58,4.3,0,0,6.2,57.63,0
185,35.0,50,4.7,0,1,6.7,84.59,0
186,45.0,52,7.6,1,0,8.6,100.84,0
187,42.0,70,7.0,0,0,7.8,53.41,0
188,37.0,68,3.5,0,1,7.1,44.9,0
189,29.0,63,4.5,1,1,8.4,95.14,0
190,22.0,58,7.2,0,1,10.0,99.8,0
191,33.0,23,4.1,0,0,3.8,30.61,0
192,46.0,44,5.3,0,1,7.1,72.59,0
193,40.0,44,3.8,0,0,6.7,65.03,0
194,25.0,52,5.1,0,0,4.0,65.2,0
195,39.0,67,5.2,0,1,8.8,78.15,0
196,41.0,28,4.3,0,0,4.4,39.58,0
197,29.0,67,7.1,1,0,7.9,105.58,0
198,39.0,18,3.3,0,1,5.0,64.5,0
199,38.0,27,5.2,1,0,4.0,58.67,0
200,26.0,51,8.6,0,0,7.2,87.3,0
201,41.0,60,5.6,0,0,8.0,47.74,0
202,43.0,49,3.4,0,0,4.2,78.85,0
203,48.0,15,5.7,1,0,4.6,81.64,0
204,48.0,68,9.9,1,0,8.0,108.55,0
205,24.0,15,5.1,0,0,2.6,56.32,0
206,28.0,51,6.6,0,0,7.4,60.28,0
207,43.0,48,5.0,1,0,7.0,87.99,0
208,43.0,72,5.6,1,0,6.8,84.76,0
209,43.0,1,4.8,0,1,6.6,74.83,0
210,70.0,7,3.0,0,0,3.7,34.52,1
211,43.0,53,5.7,1,1,9.1,102.25,0
212,49.0,31,2.6,0,1,5.9,51.02,0
213,47.0,18,4.4,1,0,5.3,80.93,0
214,44.0,12,8.8,0,0,6.3,77.51,0
215,34.0,48,4.9,1,1,6.8,101.04,0
216,45.0,30,3.2,0,0,4.4,58.2,0
217,30.0,7,5.5,0,0,2.9,65.44,0
218,35.0,3,3.9,0,0,3.2,70.32,1
219,33.0,63,5.2,1,0,7.3,90.93,0
220,38.0,6,2.6,1,0,2.9,69.8,0
221,61.0,15,6.6,1,0,5.9,84.82,0
222,19.0,71,5.2,1,0,5.9,67.13,0
223,44.0,43,3.0,0,0,2.5,58.73,0
224,21.0,18,5.7,0,1,6.5,84.3,0
225,33.0,22,8.9,1,0,9.8,94.82,0
226,48.0,61,3.4,1,0,4.5,75.14,0
227,38.0,61,6.5,0,0,7.3,63.93,0
228,27.0,53,5.8,0,0,7.0,58.26,0
229,30.0,26,5.8,0,0,4.8,68.29,0
230,44.0,40,6.8,0,1,8.9,68.52,0
231,30.0,8,4.4,1,1,5.7,105.76,0
232,40.0,21,5.3,1,0,6.3,94.71,0
233,38.0,43,5.2,1,0,6.3,69.86,0
234,31.0,21,3.3,1,0,3.0,51.87,1
235,59.0,3,5.9,0,0,5.2,64.24,0
236,44.0,31,4.3,0,0,4.5,61.03,1
237,18.0,27,8.7,1,0,7.0,89.5,0
238,39.0,27,4.0,0,0,3.7,35.93,0
239,31.0,57,2.4,0,0,4.0,22.99,0
240,46.0,33,7.2,1,0,7.8,102.04,0
241,30.0,44,3.5,1,1,7.2,91.51,0
242,36.0,43,2.6,1,1,5.7,100.9,0
243,43.0,31,5.8,1,1,6.6,76.11,0
244,46.0,65,7.7,0,0,8.8,69.16,0
245,25.0,17,6.5,0,0,4.6,73.51,0
246,34.0,15,3.9,1,0,3.4,64.89,0
247,33.0,34,5.3,1,0,3.9,88.68,0
248,31.0,4,4.4,0,0,3.2,41.58,0
249,55.0,72,8.3,0,0,10.0,62.13,0
250,42.0,28,4.1,1,0,3.8,76.34,0
251,25.0,2,5.2,0,1,6.3,69.93,0
252,47.0,17,5.3,1,0,5.2,95.39,0
253,59.0,58,2.7,0,0,5.2,43.49,0
254,48.0,9,4.6,0,0,3.1,67.14,0
255,22.0,31,4.6,1,0,3.9,84.97,0
256,33.0,66,7.8,0,0,9.7,59.65,0
257,50.0,62,5.4,0,1,7.2,79.18,0
258,30.0,19,4.2,1,0,3.5,67.88,0
259,42.0,55,4.7,1,1,7.8,110.09,0
260,45.0,28,4.9,0,0,7.2,68.9,0
261,28.0,50,4.9,0,0,6.7,37.33,0
262,37.0,65,6.9,0,1,8.9,89.94,0
263,18.0,3,7.0,0,1,6.5,96.9,0
264,27.0,52,3.0,0,1,6.0,74.03,0
265,35.0,10,7.1,0,0,5.8,64.65,0
266,25.0,21,6.5,0,0,6.6,89.96,0
267,54.0,37,4.9,0,0,4.7,56.83,0
268,23.0,15,2.1,0,0,2.4,25.43,0
269,33.0,9,5.4,0,0,5.2,64.06,0
270,39.0,44,4.3,1,0,4.0,87.38,0
271,52.0,39,6.1,1,1,7.6,111.46,0
272,23.0,5,6.3,0,0,4.3,63.52,0
273,49.0,25,7.6,1,0,6.6,79.29,0
274,38.0,56,2.9,1,0,2.6,52.86,0
275,28.0,64,9.3,0,0,9.0,66.7,0
276,42.0,72,6.8,0,1,7.7,59.89,0
277,39.0,52,6.4,0,0,6.0,77.43,0
278,31.0,9,8.8,0,1,8.3,94.87,0
279,38.0,10,5.6,0,1,6.4,74.82,0
280,34.0,10,7.1,1,1,6.6,95.96,0
281,39.0,62,5.3,1,1,6.2,88.85,0
282,44.0,60,6.7,1,0,7.1,88.61,0
283,53.0,19,7.3,1,0,4.8,88.72,0
284,25.0,38,7.1,1,0,6.6,91.91,0
285,59.0,6,2.0,0,0,1.8,26.59,0
286,18.0,15,4.2,0,1,3.6,74.69,0
287,36.0,47,7.3,0,0,7.1,79.52,0
288,43.0,45,6.0,1,0,4.2,82.12,0
289,40.0,5,4.9,0,0,3.5,62.35,0
290,31.0,53,6.0,1,0,6.7,83.34,0
291,35.0,66,2.8,1,0,3.7,65.11,0
292,33.0,62,6.6,0,0,6.3,67.16,0
293,32.0,23,5.7,0,0,6.9,54.05,0
294,46.0,44,5.2,1,0,6.2,74.58,0
295,41.0,52,4.6,0,0,5.2,64.03,0
296,31.0,46,5.5,0,0,5.8,39.13,0
297,46.0,19,4.5,1,0,2.9,78.16,1
298,41.0,47,4.4,1,0,5.6,66.19,0
299,46.0,52,8.6,0,1,10.0,110.95,0
300,44.0,24,1.8,1,0,3.2,73.2,0
301,29.0,17,1.9,0,0,3.2,52.13,1
302,32.0,46,6.6,1,1,9.7,109.79,0
303,45.0,64,2.6,1,0,5.9,74.12,0
304,44.0,28,1.0,0,0,1.9,37.07,0
305,37.0,50,7.0,0,0,6.1,59.51,0
306,39.0,64,7.5,1,0,8.2,110.31,0
307,50.0,28,2.4,0,0,3.0,48.95,0
308,32.0,56,1.4,0,0,4.2,28.81,0
309,43.0,59,2.6,0,0,4.2,27.16,0
310,35.0,5,3.6,0,0,1.6,37.83,1
311,35.0,54,8.8,1,0,9.1,99.7,0
312,48.0,44,4.1,0,0,7.5,44.19,0
313,46.0,42,6.7,1,0,8.2,97.65,0
314,46.0,72,6.4,0,0,9.3,65.01,0
315,51.0,57,7.6,1,0,7.8,90.73,0
316,38.0,47,3.7,0,0,4.2,48.75,0
317,44.0,25,5.0,0,0,5.5,53.67,0
318,34.0,44,4.6,1,0,6.7,75.47,0
319,41.0,15,6.1,0,0,4.7,64.23,0
320,36.0,51,7.4,0,0,7.2,62.02,0
321,38.0,53,9.4,1,1,10.0,110.11,0
322,43.0,34,4.2,1,0,4.9,83.57,0
323,29.0,8,5.3,1,0,4.0,73.46,0
324,58.0,70,6.7,0,0,8.2,76.07,0
325,27.0,21,6.2,0,0,6.6,59.47,0
326,25.0,7,8.4,0,0,7.1,67.68,0
327,49.0,56,4.8,1,1,7.5,89.58,0
328,45.0,49,4.2,1,0,5.4,72.93,0
329,44.0,42,7.8,0,1,10.0,92.26,0
330,44.0,23,5.6,0,0,5.6,50.13,0
331,37.0,52,6.1,0,0,8.5,67.77,0
332,29.0,53,4.9,0,1,8.2,63.2,0
333,38.0,16,6.9,0,0,5.9,73.42,0
334,31.0,37,3.3,1,0,3.6,72.45,0
335,47.0,18,4.1,1,0,2.2,70.91,0
336,36.0,20,0.5,1,1,3.9,81.34,0
337,29.0,46,3.7,1,0,6.0,89.75,0
338,34.0,2,6.9,1,0,6.3,100.85,0
339,42.0,63,5.1,1,0,5.5,84.11,0
340,32.0,3,3.2,0,0,2.7,55.12,0
341,29.0,46,7.9,0,0,7.1,65.06,0
342,40.0,49,5.3,0,0,6.0,50.09,0
343,40.0,1,8.4,1,0,4.4,104.06,0
344,32.0,22,6.7,1,1,6.6,110.94,0
345,33.0,14,5.4,0,0,4.4,53.98,0
346,40.0,45,8.7,1,1,10.0,126.42,0
347,23.0,6,4.3,0,0,4.0,51.69,0
348,23.0,65,2.8,1,0,6.8,81.89,0
349,30.0,21,8.2,1,1,8.2,94.84,0
350,35.0,4,6.2,1,0,4.1,80.99,0
351,41.0,3,7.8,1,0,6.0,103.17,0
352,52.0,30,6.8,0,0,6.5,80.34,0
353,46.0,31,8.3,0,0,6.2,84.71,0
354,36.0,34,4.0,0,1,4.8,63.56,0
355,37.0,20,4.6,0,0,6.5,65.79,0
356,27.0,54,4.6,1,1,7.7,79.89,0
357,37.0,25,4.6,0,1,6.8,63.94,0
358,35.0,15,1.9,1,0,2.6,61.75,0
359,41.0,38,5.3,1,0,6.1,86.17,0
360,29.0,23,6.6,0,0,7.0,53.1,0
361,43.0,52,3.6,0,0,7.4,46.81,0
362,53.0,66,3.2,0,1,7.6,79.49,0
363,36.0,57,4.7,0,0,6.3,41.89,0
364,42.0,57,6.6,0,0,8.5,50.31,0
365,44.0,52,2.8,0,0,4.4,36.34,0
366,33.0,35,9.7,0,0,7.3,102.23,0
367,40.0,14,2.4,1,0,3.0,71.2,0
368,38.0,14,3.9,1,0,2.5,65.72,0
369,38.0,33,7.3,1,0,6.0,100.53,0
370,30.0,52,6.9,0,1,7.7,66.31,0
371,38.0,1,6.8,1,0,2.3,87.49,0
372,42.0,34,3.6,1,0,2.9,74.49,1
373,52.0,19,4.0,1,0,3.9,86.16,0
374,47.0,24,3.3,0,0,4.7,32.03,0
375,59.0,4,4.4,1,0,2.7,89.64,0
376,30.0,36,5.8,1,1,6.6,114.09,0
377,46.0,58,3.3,0,0,5.1,59.75,0
378,39.0,32,1.5,0,0,2.6,25.51,0
379,59.0,9,7.3,1,0,5.5,109.04,0
380,29.0,67,4.6,0,0,7.7,34.38,0
381,29.0,20,6.5,0,0,5.2,49.96,0
382,32.0,62,4.4,0,0,5.7,53.69,0
383,18.0,58,6.1,1,0,7.2,81.65,0
384,32.0,22,9.7,1,1,10.0,109.85,0
385,30.0,67,2.7,0,0,8.1,67.2,0
386,39.0,48,3.4,1,0,6.6,55.25,0
387,41.0,8,3.2,0,1,4.4,48.63,0
388,56.0,15,9.2,1,0,6.7,104.3,0
389,47.0,32,5.0,0,0,5.0,54.28,1
390,32.0,53,6.8,1,0,6.7,74.25,0
391,29.0,67,0.5,0,0,3.9,54.3,0
392,42.0,4,5.7,0,1,6.0,79.78,0
393,24.0,30,4.3,0,0,5.1,45.7,0
394,56.0,13,7.8,1,0,4.1,93.88,0
395,49.0,21,6.3,1,0,4.6,70.86,0
396,33.0,41,4.2,0,0,6.4,61.68,0
397,20.0,19,8.2,0,0,5.6,73.41,0
398,51.0,48,8.3,1,0,7.5,94.23,0
399,36.0,63,8.0,1,0,8.4,95.04,0
400,50.0,20,6.5,0,1,8.5,73.75,0
401,22.0,64,4.4,0,0,7.0,63.58,0
402,32.0,37,5.5,0,0,5.4,50.79,0
403,38.0,31,4.2,0,0,4.0,45.27,0
404,38.0,18,5.4,0,0,4.0,59.2,0
405,33.0,20,3.8,0,0,2.4,29.0,0
406,44.0,11,4.7,0,1,4.5,78.81,0
407,27.0,44,9.3,1,1,10.0,121.15,0
408,36.0,64,5.6,1,1,10.0,108.43,0
409,39.0,34,4.1,1,0,4.3,73.29,0
410,43.0,65,2.8,1,0,4.7,60.58,0
411,45.0,55,4.8,1,1,8.8,100.15,0
412,26.0,1,6.5,0,1,5.5,92.38,0
413,22.0,38,5.3,1,0,6.3,75.82,0
414,50.0,9,4.9,0,1,4.3,82.76,1
415,41.0,71,5.9,1,1,9.3,101.27,0
416,30.0,17,5.8,1,0,4.4,79.38,0
417,53.0,52,6.4,1,0,7.5,95.91,0
418,39.0,18,6.5,0,0,6.7,65.78,0
419,49.0,63,4.8,1,1,7.4,85.42,0
420,38.0,33,4.7,1,0,3.9,76.6,0
421,58.0,4,5.0,0,0,3.4,43.39,0
422,55.0,52,6.1,1,0,8.2,90.88,0
423,35.0,9,7.2,0,0,5.7,57.11,0
424,47.0,64,4.3,1,0,6.2,78.24,0
425,44.0,30,4.7,0,0,5.9,58.55,0
426,51.0,8,3.4,0,1,4.8,72.16,0
427,28.0,5,2.0,1,0,4.0,59.58,1
428,44.0,63,2.5,0,1,5.3,63.11,0
429,48.0,1,3.0,0,0,2.1,37.99,0
430,20.0,15,3.7,0,0,1.9,44.1,0
431,26.0,38,5.9,1,1,6.5,95.11,0
432,18.0,42,2.9,0,0,5.4,44.85,0
433,35.0,46,5.0,1,0,4.9,84.96,0
434,45.0,53,6.7,1,0,8.9,79.94,0
435,53.0,26,3.3,0,0,2.5,38.32,1
436,38.0,61,4.0,1,0,5.8,91.04,0
437,54.0,67,2.4,0,0,3.8,33.4,0
438,24.0,54,3.1,0,0,5.5,52.66,0
439,20.0,22,7.7,0,0,6.7,78.77,0
440,37.0,26,6.0,0,1,8.3,82.9,0
441,41.0,60,9.3,0,0,10.0,80.14,0
442,37.0,39,3.5,0,0,4.5,48.35,0
443,18.0,36,8.0,1,0,7.5,81.44,0
444,37.0,21,3.5,0,1,3.8,78.42,0
445,24.0,41,4.0,1,1,6.7,90.52,0
446,44.0,48,10.4,0,0,9.6,90.55,0
447,41.0,26,3.3,0,0,4.3,46.42,0
448,28.0,63,8.2,0,0,9.6,75.65,0
449,32.0,36,4.9,0,1,6.1,77.4,0
450,27.0,24,2.8,1,0,2.5,64.56,1
451,37.0,21,2.1,0,1,4.1,68.61,0
452,47.0,18,5.2,0,0,4.3,42.69,0
453,28.0,15,2.8,0,0,1.2,56.07,1
454,43.0,6,4.4,0,0,2.4,63.07,0
455,32.0,43,1.2,0,1,5.6,53.3,0
456,30.0,31,5.7,0,0,6.0,61.06,0
457,36.0,28,1.9,0,0,2.7,37.04,1
458,27.0,8,4.9,0,1,6.6,66.1,0
459,32.0,29,2.2,0,0,3.0,40.31,0
460,26.0,21,7.5,1,0,7.0,94.99,0
461,57.0,58,0.8,0,0,3.4,47.21,0
462,38.0,60,4.4,0,0,6.2,50.18,0
463,31.0,50,6.1,0,0,9.9,60.69,0
464,40.0,31,5.7,0,0,4.9,71.65,1
465,36.0,47,2.5,0,0,4.7,47.61,0
466,35.0,34,1.5,0,0,3.3,23.64,1
467,44.0,2,6.6,0,1,7.3,82.51,0
468,45.0,67,4.8,0,1,8.1,82.13,0
469,32.0,72,2.9,1,1,9.1,113.86,0
470,32.0,52,6.6,1,1,8.4,110.03,0
471,35.0,7,3.9,0,1,4.1,48.55,1
472,18.0,19,3.7,0,1,5.9,50.22,0
473,22.0,15,3.3,1,1,5.8,84.46,0
474,51.0,48,3.5,1,0,3.6,62.92,1
475,54.0,14,3.4,1,0,2.3,80.32,1
476,35.0,3,5.7,0,0,4.3,76.99,0
477,43.0,50,8.1,0,1,10.0,98.26,0
478,41.0,54,2.2,1,0,5.6,75.1,0
479,68.0,6,4.3,1,1,4.9,103.21,0
480,49.0,49,4.7,0,0,6.9,56.99,0
481,36.0,23,5.9,1,1,5.0,97.04,0
482,28.0,20,7.0,0,0,4.7,72.77,0
483,21.0,60,4.7,0,0,6.3,49.76,0
484,40.0,45,3.7,0,1,7.4,76.91,0
485,30.0,61,6.2,0,0,7.0,65.11,0
486,23.0,56,1.7,1,0,3.7,63.6,0
487,31.0,2,0.7,1,0,1.0,51.13,1
488,27.0,45,10.2,1,0,9.1,105.19,0
489,54.0,40,3.4,0,0,5.8,41.1,0
490,46.0,24,4.2,0,0,4.2,33.61,0
491,37.0,29,6.1,0,1,9.7,69.35,0
492,52.0,67,5.7,0,0,7.5,61.4,0
493,38.0,68,6.8,1,0,7.8,62.81,0
494,29.0,66,6.9,0,1,9.7,108.14,0
495,53.0,54,2.1,0,0,5.3,35.54,0
496,43.0,53,7.5,0,0,7.8,76.27,0
497,27.0,49,6.0,0,0,3.9,38.49,0
498,36.0,32,5.8,1,0,5.2,73.98,0
499,29.0,61,5.8,0,0,4.8,69.84,0
500,24.0,42,0.5,1,1,4.5,81.85,0
501,47.0,1,4.6,1,0,2.1,73.95,0
502,57.0,63,3.1,0,0,5.3,65.21,0
503,24.0,35,2.8,0,0,2.2,29.77,0
504,43.0,51,4.0,1,0,5.3,86.07,0
505,31.0,71,6.7,0,0,8.4,58.96,0
506,33.0,45,5.6,1,0,5.7,74.39,0
507,32.0,65,5.9,0,0,7.3,39.71,0
508,29.0,14,4.1,0,0,1.9,32.3,1
509,38.0,3,5.8,1,1,5.7,105.16,0
510,29.0,24,4.6,0,0,3.8,53.77,0
511,40.0,65,6.9,0,1,9.7,76.89,0
512,37.0,48,6.4,0,0,6.8,59.91,0
513,35.0,10,5.3,0,0,4.0,55.11,0
514,28.0,13,3.4,0,0,2.6,42.28,1
515,32.0,14,5.5,0,1,6.4,67.72,0
516,45.0,10,5.5,0,0,6.0,62.71,0
517,43.0,40,5.2,1,0,5.5,93.65,0
518,28.0,23,4.0,0,0,4.5,53.99,0
519,38.0,55,3.7,0,1,8.4,72.81,0
520,45.0,63,5.6,0,0,7.5,65.78,0
521,21.0,71,3.3,0,0,6.6,44.09,0
522,43.0,42,4.5,0,0,4.4,46.06,0
523,31.0,66,6.2,0,0,8.0,40.97,0
524,43.0,47,5.9,1,0,6.8,78.89,0
525,30.0,52,2.7,0,1,7.8,57.12,0
526,19.0,18,5.6,0,0,3.6,47.47,0
527,21.0,18,9.1,1,0,9.4,102.67,0
528,38.0,24,6.4,0,0,6.8,59.82,0
529,40.0,23,4.5,1,0,5.2,81.52,0
530,28.0,12,7.6,0,0,4.8,56.83,0
531,44.0,23,9.4,1,0,6.8,86.75,0
532,21.0,21,6.7,1,0,6.4,95.32,0
533,37.0,64,1.5,1,1,3.7,90.94,0
534,25.0,72,6.2,0,0,6.5,52.76,0
